"username","text","timestamp"
"Unknown","😂😂😂😂this celebration means we are going for the trophy","2025-03-29T02:45:25.000Z"
"Unknown","anything to stop madrid","2025-03-27T16:15:54.000Z"
"Unknown","🤡","2025-03-27T17:22:10.000Z"
"Unknown","They’re not allowed to celebrate anymore 😂 it’s okay we did it a ton of time","2025-03-27T19:29:05.000Z"
"Unknown","Nothing can stop Madrid now. 😂","2025-03-28T11:05:32.000Z"
"Unknown","they even changed ucl format to try and stop us 😂","2025-03-28T12:22:39.000Z"
"Unknown","What about Argentina vs Netherlands😂","2025-03-28T19:21:08.000Z"
"Unknown","An investigation into UEFA needs to be open","2025-03-28T19:49:07.000Z"
"Unknown","Everything to stop us","2025-03-28T18:56:35.000Z"
"Unknown","Apparently “their findings are to be published next Tuesday. Check the date.","2025-03-27T21:41:41.000Z"
"Unknown","Football is not what it used to be, sadly. Like we can’t even celebrate without people getting butt hurt. So damn sensitive","2025-03-29T00:23:57.000Z"
"Unknown","This is hilarious. Atletico fans were throwing bottles and spitting on Real Madrid players but no one will deal with this 🤡","2025-03-28T19:50:43.000Z"
"Unknown","They lost so, now they are trying to give us a disadvantage but madrid lives off this pressure 🔥","2025-03-28T15:52:32.000Z"
"Unknown","Valverde got away with it 🤣🤣🤣","2025-03-28T20:06:46.000Z"
